id	X	Y	month	day	FFMC	DMC	DC	ISI	temp	RH	wind	rain	area
182	1	4	sep	tue	91.0	129.5	692.6	7.0	21.7	38	2.2	0.0	0.43
183	4	4	dec	mon	85.4	25.4	349.7	2.6	4.6	21	8.5	0.0	17.85
184	6	5	sep	sat	87.1	291.3	860.6	4.0	17.0	67	4.9	0.0	3.95
185	6	5	apr	thu	81.5	9.1	55.2	2.7	5.8	54	5.8	0.0	10.93
187	1	2	aug	wed	92.1	111.2	654.1	9.6	16.6	47	0.9	0.0	0.0
189	4	4	aug	tue	93.7	102.2	550.3	14.6	22.1	54	7.6	0.0	0.79
192	5	4	aug	fri	91.0	166.9	752.6	7.1	21.1	71	7.6	1.4	2.17
193	2	4	jan	sat	82.1	3.7	9.3	2.9	5.3	78	3.1	0.0	0.0
197	1	3	mar	mon	87.6	52.2	103.8	5.0	8.3	72	3.1	0.0	0.0
199	2	5	jul	sat	90.8	84.7	376.6	5.6	23.8	51	1.8	0.0	0.0
201	8	6	aug	sat	93.7	231.1	715.1	8.4	18.9	64	4.9	0.0	0.0
202	1	4	aug	sat	90.2	96.9	624.2	8.9	20.3	39	4.9	0.0	4.53
203	4	4	sep	thu	92.9	137.0	706.4	9.2	20.8	17	1.3	0.0	0.0
204	7	5	sep	sat	92.5	88.0	698.6	7.1	22.8	40	4.0	0.0	0.0
207	5	4	aug	tue	95.1	141.3	605.8	17.7	24.1	43	6.3	0.0	2.0
209	4	6	mar	sun	89.3	51.3	102.2	9.6	10.6	46	4.9	0.0	0.0
212	4	5	jul	fri	91.6	100.2	466.3	6.3	22.9	40	1.3	0.0	2.64
214	2	4	sep	wed	87.9	84.8	725.1	3.7	21.8	34	2.2	0.0	6.04
215	6	5	mar	wed	93.4	17.3	28.3	9.9	13.8	24	5.8	0.0	0.0
216	7	4	aug	sat	91.8	170.9	692.3	13.7	23.7	40	1.8	0.0	1.38
217	8	3	sep	tue	84.4	73.4	671.9	3.2	24.2	28	3.6	0.0	0.96
218	1	2	aug	sat	93.7	231.1	715.1	8.4	25.9	32	3.1	0.0	0.0
222	9	9	feb	fri	86.6	13.2	43.0	5.3	15.7	43	3.1	0.0	0.0
223	2	2	sep	fri	92.4	117.9	668.0	12.2	23.0	37	4.5	0.0	0.0
226	6	5	sep	sat	92.2	102.3	751.5	8.4	19.7	35	1.8	0.0	0.0
227	8	6	aug	tue	88.8	147.3	614.5	9.0	14.4	66	5.4	0.0	5.23
228	1	4	aug	sat	90.2	96.9	624.2	8.9	14.2	53	1.8	0.0	3.5
232	1	2	aug	sun	90.2	99.6	631.2	6.3	17.9	44	2.2	0.0	0.0
234	7	6	jul	tue	93.1	180.4	430.8	11.0	26.9	28	5.4	0.0	86.45
237	4	4	sep	thu	92.4	96.2	739.4	8.6	19.2	24	4.9	0.0	3.78
243	8	5	oct	mon	84.9	32.8	664.2	3.0	16.7	47	4.9	0.0	0.0
244	8	6	aug	sat	92.2	81.8	480.8	11.9	16.4	43	4.0	0.0	71.3
248	8	6	aug	wed	85.6	90.4	609.6	6.6	17.4	50	4.0	0.0	2.69
251	4	6	feb	sat	68.2	21.5	87.2	0.8	15.4	40	2.7	0.0	0.0
255	4	6	dec	sun	84.4	27.2	353.5	6.8	4.8	57	8.5	0.0	8.98
256	7	3	mar	mon	87.6	52.2	103.8	5.0	11.0	46	5.8	0.0	27.35
257	6	3	aug	thu	91.6	138.1	621.7	6.3	18.9	41	3.1	0.0	10.34
258	8	6	aug	sun	91.4	142.4	601.4	10.6	19.6	41	5.8	0.0	196.48
259	4	5	sep	sat	92.5	88.0	698.6	7.1	20.3	45	3.1	0.0	0.0
260	2	5	sep	mon	91.6	108.4	764.0	6.2	19.3	44	2.2	0.0	3.93
262	7	4	sep	fri	92.1	99.0	745.3	9.6	20.6	43	3.6	0.0	2.03
265	8	5	aug	wed	93.1	157.3	666.7	13.5	24.0	36	3.1	0.0	0.24
266	6	5	jun	sat	53.4	71.0	233.8	0.4	10.6	90	2.7	0.0	0.0
267	2	4	aug	mon	95.0	135.5	596.3	21.3	30.6	28	3.6	0.0	2.07
269	6	4	jun	sun	90.4	89.5	290.8	6.4	14.3	46	1.8	0.0	0.9
270	3	6	jun	fri	91.1	94.1	232.1	7.1	19.2	38	4.5	0.0	0.0
273	1	5	sep	tue	91.0	129.5	692.6	7.0	21.6	33	2.2	0.0	11.53
274	4	4	aug	wed	95.1	141.3	605.8	17.7	20.6	58	1.3	0.0	0.0
275	4	4	aug	tue	96.1	181.1	671.2	14.3	20.7	69	4.9	0.4	0.0
277	8	6	aug	mon	92.3	88.9	495.6	8.5	24.1	27	3.1	0.0	0.0
279	2	4	sep	sun	50.4	46.2	706.6	0.4	12.2	78	6.3	0.0	0.0
280	8	6	mar	fri	91.7	35.8	80.8	7.8	17.4	24	5.4	0.0	0.0
285	5	4	sep	fri	92.1	99.0	745.3	9.6	10.1	75	3.6	0.0	0.0
286	6	3	sep	fri	88.6	69.7	706.8	5.8	20.6	37	1.8	0.0	0.0
287	6	3	feb	fri	84.1	7.3	52.8	2.7	14.7	42	2.7	0.0	0.0
288	7	4	jul	sat	91.6	104.2	474.9	9.0	24.3	30	1.8	0.0	0.0
290	4	5	sep	tue	91.1	132.3	812.1	12.5	15.9	38	5.4	0.0	1.75
291	2	4	aug	sun	91.8	175.1	700.7	13.8	22.4	54	7.6	0.0	2.87
292	1	4	aug	wed	91.7	191.4	635.9	7.8	19.9	50	4.0	0.0	82.75
294	6	5	aug	wed	93.1	157.3	666.7	13.5	22.1	37	3.6	0.0	0.21
296	6	3	sep	sun	91.7	75.6	718.3	7.8	17.7	39	3.6	0.0	0.0
298	4	5	sep	thu	92.9	137.0	706.4	9.2	21.5	15	0.9	0.0	11.06
299	6	3	sep	mon	91.6	108.4	764.0	6.2	23.0	34	2.2	0.0	56.04
300	8	6	aug	sat	94.2	117.2	581.1	11.0	23.9	41	2.2	0.0	8.02
304	4	3	mar	mon	87.6	52.2	103.8	5.0	11.0	46	5.8	0.0	36.85
305	4	5	sep	tue	91.1	132.3	812.1	12.5	16.4	27	3.6	0.0	0.0
307	6	3	aug	fri	91.1	141.1	629.1	7.1	19.3	39	3.6	0.0	1.56
314	4	3	aug	sun	81.6	56.7	665.6	1.9	27.8	32	2.7	0.0	6.44
317	6	4	mar	sat	90.8	41.9	89.4	7.9	13.3	42	0.9	0.0	7.4
321	4	4	aug	tue	94.8	108.3	647.1	17.0	16.6	54	5.4	0.0	0.0
323	8	6	aug	mon	92.1	207.0	672.6	8.2	26.8	35	1.3	0.0	0.54
324	6	3	feb	sun	84.9	27.5	353.5	3.4	4.2	51	4.0	0.0	0.0
326	7	4	sep	fri	94.3	85.1	692.3	15.9	20.1	47	4.9	0.0	26.13
328	6	5	sep	wed	92.6	115.4	777.1	8.8	24.3	27	4.9	0.0	0.0
333	8	6	aug	mon	92.1	207.0	672.6	8.2	25.5	29	1.8	0.0	1.23
334	4	3	sep	tue	90.3	80.7	730.2	6.3	17.8	63	4.9	0.0	0.0
335	7	4	aug	sun	91.4	142.4	601.4	10.6	16.3	60	5.4	0.0	0.0
337	4	4	sep	sat	92.5	88.0	698.6	7.1	19.6	48	2.7	0.0	0.0
338	2	2	aug	tue	94.8	108.3	647.1	17.0	24.6	22	4.5	0.0	10.01
339	3	4	jul	mon	94.6	160.0	567.2	16.7	17.9	48	2.7	0.0	0.0
341	4	5	mar	fri	91.2	48.3	97.8	12.5	15.8	27	7.6	0.0	0.0
342	4	3	jul	thu	93.2	114.4	560.0	9.5	30.2	22	4.9	0.0	0.0
348	3	4	aug	sun	94.9	130.3	587.1	14.1	23.4	40	5.8	0.0	1.29
349	9	4	sep	tue	84.4	73.4	671.9	3.2	24.3	36	3.1	0.0	105.66
353	5	4	aug	tue	88.8	147.3	614.5	9.0	17.3	43	4.5	0.0	0.0
355	3	4	mar	wed	90.2	18.5	41.1	7.3	11.2	41	5.4	0.0	5.55
356	7	4	sep	fri	92.4	117.9	668.0	12.2	19.0	34	5.8	0.0	0.0
358	8	6	jul	sun	88.9	263.1	795.9	5.2	29.3	27	3.6	0.0	6.3
359	6	3	sep	mon	91.5	130.1	807.1	7.5	20.6	37	1.8	0.0	0.0
360	2	2	aug	sun	90.2	99.6	631.2	6.3	20.8	33	2.7	0.0	0.0
363	7	4	sep	sun	92.4	105.8	758.1	9.9	25.3	27	2.7	0.0	0.0
364	3	4	dec	mon	85.4	25.4	349.7	2.6	4.6	21	8.5	0.0	10.73
365	1	4	aug	fri	90.5	196.8	649.9	16.3	11.8	88	4.9	0.0	9.71
366	7	5	mar	fri	86.2	26.2	94.3	5.1	8.2	51	6.7	0.0	0.0
367	3	4	aug	sun	91.4	142.4	601.4	10.6	19.8	39	5.4	0.0	0.0
368	6	5	aug	fri	63.5	70.8	665.3	0.8	17.0	72	6.7	0.0	0.0
369	8	6	mar	sun	89.3	51.3	102.2	9.6	11.5	39	5.8	0.0	7.19
370	8	6	aug	sun	92.3	85.3	488.0	14.7	22.2	29	5.4	0.0	0.0
372	8	5	aug	wed	93.1	157.3	666.7	13.5	26.8	25	3.1	0.0	0.68
373	2	2	aug	tue	94.8	108.3	647.1	17.0	17.4	43	6.7	0.0	1.07
376	4	4	oct	sat	90.6	43.7	686.9	6.7	18.4	25	3.1	0.0	24.23
377	6	5	sep	wed	92.9	133.3	699.6	9.2	26.4	21	4.5	0.0	0.0
383	2	5	aug	sun	91.6	181.3	613.0	7.6	24.8	36	4.0	0.0	3.05
384	6	5	sep	sat	91.2	94.3	744.4	8.4	15.4	57	4.9	0.0	39.35
387	4	4	aug	sat	90.2	96.9	624.2	8.9	18.4	42	6.7	0.0	0.0
388	7	4	aug	thu	91.9	109.2	565.5	8.0	21.4	38	2.7	0.0	1.52
389	5	6	mar	sat	90.6	50.1	100.4	7.8	15.1	64	4.0	0.0	13.99
391	1	2	sep	thu	92.9	137.0	706.4	9.2	21.5	15	0.9	0.0	0.0
394	4	3	oct	sun	92.6	46.5	691.8	8.8	13.8	50	2.7	0.0	0.0
395	7	4	feb	mon	84.7	9.5	58.3	4.1	7.5	71	6.3	0.0	9.96
396	9	6	aug	thu	91.6	248.4	753.8	6.3	20.5	58	2.7	0.0	42.87
397	2	5	jun	thu	93.7	121.7	350.2	18.0	22.7	40	9.4	0.0	3.19
398	2	5	sep	fri	90.3	290.0	855.3	7.4	16.2	58	3.6	0.0	9.96
403	6	5	mar	mon	87.2	15.1	36.9	7.1	10.2	45	5.8	0.0	3.18
404	6	5	mar	thu	91.3	20.6	43.5	8.5	13.3	27	3.6	0.0	6.61
405	9	9	feb	thu	84.2	6.8	26.6	7.7	6.7	79	3.1	0.0	0.0
409	2	2	feb	mon	84.0	9.3	34.0	2.1	13.9	40	5.4	0.0	0.0
412	6	5	aug	sat	90.2	96.9	624.2	8.9	14.7	59	5.8	0.0	0.0
413	6	5	feb	tue	75.1	4.4	16.2	1.9	4.6	82	6.3	0.0	5.39
414	2	2	mar	sun	89.3	51.3	102.2	9.6	11.5	39	5.8	0.0	0.0
415	2	2	aug	sat	93.7	231.1	715.1	8.4	21.9	42	2.2	0.0	174.63
416	8	6	aug	mon	92.1	207.0	672.6	8.2	21.1	54	2.2	0.0	0.0
417	6	5	aug	fri	91.0	166.9	752.6	7.1	18.2	62	5.4	0.0	0.43
420	3	4	mar	mon	90.1	39.7	86.6	6.2	10.6	30	4.0	0.0	0.0
423	4	3	sep	thu	92.9	137.0	706.4	9.2	27.7	24	2.2	0.0	0.0
425	3	4	sep	sun	90.5	96.7	750.5	11.4	20.6	55	5.4	0.0	24.59
426	1	2	aug	sun	91.4	142.4	601.4	10.6	19.5	39	6.3	0.0	0.0
430	7	4	sep	sat	91.2	124.4	795.3	8.5	21.5	28	4.5	0.0	15.64
431	4	3	jul	sun	93.7	101.3	423.4	14.7	26.1	45	4.0	0.0	7.36
437	2	2	sep	mon	91.5	130.1	807.1	7.5	16.8	43	3.1	0.0	5.83
438	6	5	sep	thu	92.8	119.0	783.5	7.5	16.8	28	4.0	0.0	1.01
439	8	6	aug	mon	91.5	145.4	608.2	10.7	8.0	86	2.2	0.0	0.0
442	3	4	jul	wed	91.9	133.6	520.5	8.0	14.2	58	4.0	0.0	0.0
447	6	5	sep	fri	92.4	117.9	668.0	12.2	19.6	33	6.3	0.0	19.23
448	5	4	aug	tue	95.1	141.3	605.8	17.7	26.4	34	3.6	0.0	16.4
449	2	5	sep	wed	90.1	82.9	735.7	6.2	18.3	45	2.2	0.0	4.88
450	5	6	aug	sun	91.6	181.3	613.0	7.6	24.3	33	3.6	0.0	3.63
452	9	9	jul	tue	85.8	48.3	313.4	3.9	18.0	42	2.7	0.0	0.36
458	7	4	oct	mon	91.7	48.5	696.1	11.1	16.8	45	4.5	0.0	6.83
459	8	3	jun	mon	88.2	96.2	229.0	4.7	14.3	79	4.0	0.0	1.94
460	1	2	jul	fri	90.7	80.9	368.3	16.8	14.8	78	8.0	0.0	0.0
461	6	3	oct	tue	90.6	35.4	669.1	6.7	21.7	24	4.5	0.0	0.0
464	1	3	sep	mon	88.6	91.8	709.9	7.1	12.4	73	6.3	0.0	30.32
465	4	3	sep	fri	90.3	290.0	855.3	7.4	19.9	44	3.1	0.0	7.8
466	8	6	sep	mon	91.6	108.4	764.0	6.2	22.7	35	2.2	0.0	7.48
467	9	4	jul	mon	92.3	92.1	442.1	9.8	22.8	27	4.5	0.0	1.63
468	3	6	sep	sun	92.4	124.1	680.7	8.5	17.2	58	1.3	0.0	0.0
469	3	4	feb	sat	83.9	8.0	30.2	2.6	12.7	48	1.8	0.0	0.0
471	4	5	sep	mon	88.6	91.8	709.9	7.1	17.4	56	5.4	0.0	0.0
472	6	5	mar	mon	90.1	39.7	86.6	6.2	15.2	27	3.1	0.0	31.86
473	4	5	aug	wed	95.2	217.7	690.0	18.0	23.4	49	5.4	0.0	6.43
475	1	2	aug	fri	90.1	108.0	529.8	12.5	14.7	66	2.7	0.0	0.0
476	2	4	aug	sun	91.6	181.3	613.0	7.6	20.9	50	2.2	0.0	16.0
479	3	6	jun	fri	91.1	94.1	232.1	7.1	19.2	38	4.5	0.0	0.0
481	7	4	mar	sun	90.7	44.0	92.4	5.5	11.5	60	4.0	0.0	8.24
485	3	4	aug	tue	88.8	147.3	614.5	9.0	14.4	66	5.4	0.0	0.0
486	4	4	jul	tue	79.5	60.6	366.7	1.5	23.3	37	3.1	0.0	0.0
490	6	5	mar	thu	90.9	18.9	30.6	8.0	8.7	51	5.8	0.0	0.0
491	8	6	aug	sat	92.2	81.8	480.8	11.9	20.1	34	4.5	0.0	58.3
492	3	4	mar	fri	91.7	33.3	77.5	9.0	18.8	18	4.5	0.0	0.0
495	7	4	aug	sat	90.2	110.9	537.4	6.2	19.5	43	5.8	0.0	0.0
496	6	5	aug	wed	92.1	111.2	654.1	9.6	16.6	47	0.9	0.0	2.29
499	1	3	aug	fri	95.9	158.0	633.6	11.3	27.5	29	4.5	0.0	43.32
502	3	4	aug	sun	91.6	181.3	613.0	7.6	24.6	44	4.0	0.0	3.2
503	1	4	sep	mon	91.5	130.1	807.1	7.5	21.3	35	2.2	0.0	28.19
506	3	4	sep	tue	91.0	129.5	692.6	7.0	13.9	59	6.3	0.0	11.24
507	4	4	apr	fri	83.0	23.3	85.3	2.3	16.7	20	3.1	0.0	0.0
509	6	5	aug	thu	95.2	131.7	578.8	10.4	27.4	22	4.0	0.0	0.9
510	6	5	aug	wed	96.0	127.1	570.5	16.5	23.4	33	4.5	0.0	2.51
511	2	5	aug	fri	93.9	135.7	586.7	15.1	23.5	36	5.4	0.0	10.02
515	7	4	aug	sun	91.4	142.4	601.4	10.6	20.1	39	5.4	0.0	2.74
